"YEAR","State","Voted","nVote","nWgtVote","n","nWgt","sampPropVote","wgtPropVote"
2016,"Alabama","Voted",1208,2095096.6063,1691,2954157.3792,0.714370195150798,0.709202773369969
2016,"Alaska","Voted",736,307661.7057,967,412200.045,0.761116856256463,0.746389306434937
2016,"Arizona","Voted",881,2769011.3815,1249,3940561.1932,0.705364291433146,0.702694678686458
2016,"Arkansas","Voted",995,1241271.1485,1401,1754463.4525,0.710206995003569,0.707493306133717
2016,"California","Voted",4229,14416087.0829,5885,20343859.3324,0.718606627017842,0.708621055983251
2016,"Colorado","Voted",769,2706894.5317,916,3233204.5698,0.839519650655022,0.837217216932068
2016,"Connecticut","Voted",565,1586100.0375,715,2044449.3099,0.79020979020979,0.775807954650429
2016,"Delaware","Voted",669,416671.807,893,561228.4755,0.749160134378499,0.74242812898755
2016,"District of Columbia","Voted",1213,380289.6887,1417,448380.861,0.856033874382498,0.848139877897242
2016,"Florida","Voted",2463,8577713.777,3148,11058031.8941,0.782401524777637,0.775699858631863
2016,"Georgia","Voted",1182,4245996.3706,1636,5904889.8157,0.722493887530562,0.719064453888824
2016,"Hawaii","Voted",701,460354.9137,1133,759494.4774,0.618711385701677,0.60613332604596
2016,"Idaho","Voted",940,713822.1794,1336,1016089.0305,0.703592814371258,0.70251932456031
2016,"Illinois","Voted",1774,5719411.1223,2326,7563050.9253,0.76268271711092,0.756230677115681
2016,"Indiana","Voted",927,2794898.1248,1348,4107510.3994,0.687685459940653,0.680436043499308
2016,"Iowa","Voted",717,1453794.7925,957,1945083.6206,0.749216300940439,0.747420201940494
2016,"Kansas","Voted",784,1243044.971,1112,1791486.826,0.705035971223022,0.693862189193681
2016,"Kentucky","Voted",709,1849813.5099,1054,2746578.4179,0.672675521821632,0.673497431511293
2016,"Louisiana","Voted",1343,2066934.5731,1826,2844369.0738,0.735487404162103,0.726675940945537
2016,"Maine","Voted",654,754359.4932,815,952176.9918,0.802453987730061,0.792247134405081
2016,"Maryland","Voted",719,2736827.4695,911,3499287.1111,0.789242590559824,0.782110007726596
2016,"Massachusetts","Voted",1365,3314837.9131,1701,4177304.8142,0.802469135802469,0.793535080761117
2016,"Michigan","Voted",1462,4712856.9491,1882,6182991.8541,0.776833156216791,0.762229202352072
2016,"Minnesota","Voted",890,2738359.7814,1121,3473714.6815,0.793933987511151,0.788308779642644
2016,"Mississippi","Voted",1254,1469598.6476,1680,1990533.5413,0.746428571428571,0.738293837862294
2016,"Missouri","Voted",938,2905732.6307,1256,3933824.3292,0.746815286624204,0.738653378375674
2016,"Montana","Voted",1377,520706.7615,1827,707131.1616,0.753694581280788,0.736365174915805
2016,"Nebraska","Voted",810,892570.4889,1057,1176690.0251,0.766319772942289,0.758543431031588
2016,"Nevada","Voted",720,1194874.211,1024,1703509.5863,0.703125,0.701419129431053
2016,"New Hampshire","Voted",915,697843.1904,1134,874110.8802,0.806878306878307,0.798346303892626
